id,name,sinhala name,author,author sinhala name,translator,translator sinhala name,language,categoery,Tags
1051,Mage Hapankam,මගේ හපන්කම්,Gafur Gulyam,ගෆුර් ගුල්යාම්,Dedigama V Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,
1052,Kosha Gatha u minisa,කෝෂ ගත වූ මිනිසා,Anton Chekof,ඇන්ටන් චෙකොව්,H.Jayarathne,එච්. ජයරත්න,Sinhala,Russian Translation Novel,
1053,19 weni Shathawarshaye Rusian Keti katha,19 වෙනි ශතවර්ෂයේ රුසියානු කෙටි කථා,,,Dedigama V Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Short Stories,
1054,Ran Rosa,රන් රෝස,Konsthanthin Pawsthowsky,කොන්ස්ටන්ටයින් පවුස්ටොව්ස්කි,Ariyawansha Ranaweera,අරියවංශ රණවීර,Sinhala,Russian Translation Novel,
1055,Hima Kabaya,හිම කබාය,Nicoloi Gogol,නිකොලායි ගොගොල්,Dedigama V Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Short Stories,
1056,Pilika Wattuwa,පිළිකා වාට්ටුව,Alexander Solzhenitsyn,ඇලෙක්සැන්ඩර් සොල්සෙනිට්සින්,Anula de Silva,අනුලා ද සිල්වා,Sinhala,Russian Translation Novel,
1057,Depalu Karana lada Hadawathaka Chodana Pathraya,දෙපළු කරන ලද හදවතක චෝදනා පත්‍රය,Saadat Hasan Manto,සාදත් හසන් මන්තෝ,Chulananda Samranayaka,චූලානන්ද සමරනායක,Sinhala,Indian Translation,
1058,Dairyaye Rathu Salakuna,ධෛර්යයේ රතු සලකුණ,Stephen Crane,ස්ටීවන් ක්‍රේන්,Senarathne Weerasinghe,සෙනරත්න වීරසිංහ,Sinhala,English Translation Novel,
1059,Kung Fu 2,කුං ෆු 2,Howard Lee,හොවාඩ් ලී,Senarathne Weerasinghe,සෙනරත්න වීරසිංහ,Sinhala,English Translation Novel,
1060,Kung Fu 3,කුං ෆු 3,Howard Lee,හොවාඩ් ලී,Senarathne Weerasinghe,සෙනරත්න වීරසිංහ,Sinhala,English Translation Novel,
1061,Kung Fu 4,කුං ෆු 4,Howard Lee,හොවාඩ් ලී,Senarathne Weerasinghe,සෙනරත්න වීරසිංහ,Sinhala,English Translation Novel,
1062,Nayakaya Marapu Dawasa,නායකයා මරපු දවස,Naguib Mahrouz,නගීබ් මහ්ෆූස්,Chulananda Samranayaka,චූලානන්ද සමරනායක,Sinhala,African Translation,
1063,Hima Bima Madin,හිම බිම මැදින්,Michael Morpurgo,මයිකල් මෝපුර්ගෝ,Deepthi Mangala Rajapakshe,දීප්ති මංගල රාජපක්ෂ,Sinhala,English Translation Novel,
1064,Lankawa awata Diyayata Wikramayan,ලංකාව වටා දිය යට වික්‍රමයන්,Arthur C Clark,ආතර් සී. ක්ලාක්,Mano Fernando,මනෝ ප්‍රනාන්දු,Sinhala,English Translation Novel,
1065,Kiya,කියා,Delia Owens,ඩීලියා ඕවන්ස්,Nimmi Muditha Herath,නිම්මි මුදිතා හේරත්,Sinhala,English Translation Novel,
1066,Oththukari,ඔත්තුකාරී,Paulo Coelho,පාවුලෝ කොයියෝ,Manjula Kaldera,මංජුල කල්දේරා,Sinhala,English Translation Novel,
1067,Mage diviseriya,මගේ දිවිසැරිය,Charly Chaplin,චාලි චැප්ලින්,Chulananda Samranayaka,චූලානන්ද සමරනායක,Sinhala,English Translation Novel,
1068,Wurkayage Dawasa,වෘකයාගේ දවස,Frederick Forsyth,ෆ්‍රෙඩ්රික් ෆෝසයිත්,Abhaya Hewawasam,අභය හේවාවසම්,Sinhala,English Translation Novel,
1069,Mul (yadam) 2,මුල් 2,Alex Haley,ඇලෙක්ස් හේලි,Ben Rusknack,බෙන් රස්නැක්,Sinhala,English Translation Novel,
1070,Mathaka Miyadena Sanda,මතක මියදෙන සඳ,Ambalawanar Sivanandan,අම්බලවානර් සිවනන්දන්,Hashitha Abewardana,හෂිත අබේවර්ධන,Sinhala,English Translation Novel,
1071,Kiyanu Was Pawathimi,කියනු පිණිස පවතිමි,Gabrial Garcia Marquez,ගාබ්‍රියෙල් ගාර්ෂියා මාර්කේස්,Maheshi Weerakoon,මහේෂි වීරකෝන්,Sinhala,English Translation Novel,
1072,Thirtha Yathrawe Wasara Gananawak,තීර්ථ යාත්‍රාවේ වසර ගණනාවක්,Haruki Murakami,හරුකි මුරකාමි,Manuel Jayasekara,මැනුවෙල් ජයසේකර,Sinhala,English Translation Novel,
1073,Hunting Party,හන්ටින් පාටි,Luct Foley,ලූසි ෆෝලි,Tharushi Niranga Jayasinghe,තරුෂි නිරංග ජයසිංහ,Sinhala,English Translation Novel,
1074,Damaraja,දමරාජ,Isuru Umayanga Hidellarachchi,ඉසුරු උමයංග හිදැල්ලආරච්චි,,,Sinhala,Sinhala Novel,
1075,Chutta,චුට්ටා,Lahiru Kithalagama,ලාහිරු කිතුලගම,,,Sinhala,Sinhala Novel,
1076,Yakkaraja,යක්කරජ,Chandika Abeywickrama,චන්දික අබේවික්‍රම,,,Sinhala,Sinhala Novel,
