id,name,sinhala name,author,author sinhala name,translator,translator sinhala name,language,categoery,Tags
994,Sagaraya Parada,සාගරය පරදා,Melissa Fleming,මෙලිසා ෆ්ලෙමින්,Priyanka Kahawanugoda,ප්‍රියංකා කහවනුගොඩ,Sinhala,English Translation Novel,
995,Mlechchayo Enathuru,ම්ලේච්ඡයෝ එනතුරු,J.M.Coetzee,ජේ.එම්. කොට්සි,Shyaman Hemakody,ශ්‍යාමන් හේමකොඩි,Sinhala,English Translation Novel,
996,Dawala Duma Yathrawaa,ධවල දූම යාත්‍රාව,Chingiz Aithmathovq,චිංගීස් අයිත්මාතව්,Pushpa Ranjan Wijesinghe,පුෂ්ප රන්ජන් විජේසිංහ,Sinhala,Russian Translation Novel,
997,Sarosek Bime Duk Geethaya,සැරෝසෙක් බිමේ දුක් ගීතය,Chingiz Aithmathov,චිංගීස් අයිත්මාතව්,Pushpa Ranjan Wijesinghe,පුෂ්ප රන්ජන් විජේසිංහ,Sinhala,Russian Translation Novel,
998,Hama Kalu Nisa,හම කළු නිසා,John Howard Griffin,ජෝන් හොවාඩ් ග්‍රිෆින්,Samarsinghe Gunasekara,සමරසිංහ ගුණසේකර,Sinhala,English Translation Novel,
999,Sarvanasa,සර්වනාශ,Jeff vandermeer,ජෙෆ් වැන්ඩර්මියර්,Susitha Ruwan,සුසිත රුවන්,Sinhala,English Translation Novel,
1000,Garu Konsalthuma,ගරු කොන්සල්තුමා,Graham Greene,ග්‍රැහැම් ග්‍රීන්,Gamini viyangoda,ගාමිණී වියන්ගොඩ,Sinhala,English Translation Novel,
1001,Sisiraye Reyaka Magiyakunam,සිසිරයේ රැයක මගියකු නම්,Italo Calvino,ඉටලෝ කැල්විනෝ,Gamini viyangoda,ගාමිණී වියන්ගොඩ,Sinhala,English Translation Novel,
1002,Harda Saksiyaka Andonawa,හෘද සාක්ෂියක අඳෝනාව,Joseph Conrad,ජෝසප් කොන්රඩ්,Gamini viyangoda,ගාමිණී වියන්ගොඩ,Sinhala,English Translation Novel,
1003,Erange Lokaya,එරාන්ගේ ලෝකය,Jim Shepard,ජිම් ෂෙපර්ඩ්,Rohana Wettasinghe,රෝහණ වෙත්තසිංහ,Sinhala,English Translation Novel,
1004,Sayuru Thera Sahan Bima,සයුරු තෙර සහන් බිම,Isabel Allende,ඉසබෙල් අයියන්දේ,Rohana Wettasinghe,රෝහණ වෙත්තසිංහ,Sinhala,English Translation Novel,
1005,Angaharu Minisa,අඟහරු මිනිසා,Andy Weir,ඇන්ඩි වෙයාර්,Tathsarani Bulathsinhala,තත්සරණි බුලත්සිංහල,Sinhala,English Translation Novel,
1006,Mishan Ainstain,මිෂන් අයින්ස්ටයින්,Dean Koontz,ඩීන් කූන්ට්ස්,Dileepa Jayakody,දිලීප ජයකොඩි,Sinhala,English Translation Novel,
1007,Menik Asak Athi Kotiya,මැණික් ඇසක් ඇති කොටියා,Wilbur Smith,විල්බර් ස්මිත්,Susantha Kodithuwakku,සුසන්ත කොඩිතුවක්කු,Sinhala,English Translation Novel,
1008,Nomala Maranaya,නොමළ මරණය,Wilkie collins,විල්කි කොලින්ස්,Ather Fernando,ආතර් ප්‍රනාන්දු,Sinhala,English Translation Novel,
1009,Thuranga Nimnaya,තුරඟ නිම්නය,Jean Marie Auel,ජීන් එම්. ඕල්,Sudath Podirathna,සුදත් පොඩිරත්න,Sinhala,English Translation Novel,
1010,Ahasa Gugurana Handa,අහස ගුගුරන හඬ (Roll of Thunder,Mildred D Taylor,Mildred D. Taylor,Dewdu Senewirathna,Dewdu Senevirathne,Sinhala,English Translation Novel,
1011,Kolaniya,කොලනිය,Jayakody Senewirathna,ජයකොඩි සෙනෙවිරත්න,,නොදනී,Sinhala,Sinhala Novel,
1012,Athawesiyo,අතවැසියෝ,Jayakody Senewirathna,ජයකොඩි සෙනෙවිරත්න,,නොදනී,Sinhala,Sinhala Novel,
1013,Sudu Rookada,සුදු රූකඩ,Jayakody Senewirathna,ජයකොඩි සෙනෙවිරත්න,,නොදනී,Sinhala,Sinhala Novel,
1014,As Benduma,ඇස් බැඳුම,Jayakody Senewirathna,ජයකොඩි සෙනෙවිරත්න,,නොදනී,Sinhala,Sinhala Novel,
1015,Wakkalama,වක්කලම,Jayakody Senewirathna,ජයකොඩි සෙනෙවිරත්න,,නොදනී,Sinhala,Sinhala Novel,
1016,Weda Medura,වෙද මැදුර,Jayakody Senewirathna,ජයකොඩි සෙනෙවිරත්න,,නොදනී,Sinhala,Sinhala Novel,
