"147","Wanarayange Tarzan","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"148","Tarzan Apasu Eyi","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"149","Tarzan ge Wanasiwpawo","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"150","Tarzan ge Puthraya","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"151","Tarzan ha Oparaye menik","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"152","Nodemunu Tarzan","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"153","Bihisunu Tarzan","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"154","Tarzan Ha Swarnamaya Sinhaya","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"155","Tarzan ha Kuhumbu Minissu","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"156","Tarzan ha Sathuru Sena","Edgar Rice Burroughs","Deemon Ananda","Sinhala","English Translation Novel"
"157","Veera Vickramanvitha Tarzan","Edgar Rice Burroughs","Deemon Ananda","Sinhala","English Translation Novel"
"158","Tarzan saha Atharamanwu Yathrikayo","Edgar Rice Burroughs","Prabath MIrihagalla","Sinhala","English Translation Novel"
"159","Wanantharaye Adhipathy Tarzan","Edgar Rice Burroughs","Deemon Ananda","Sinhala","English Translation Novel"
"160","Tarzan ha Mahar Rejina","Edgar Rice Burroughs","Deemon Ananda","Sinhala","English Translation Novel"
"161","Tarzan saha Roma Soldaduwo","Edgar Rice Burroughs","Nishani Dissanayaka","Sinhala","English Translation Novel"
"162","Tarzan saha Abirahas Lokaya","Edgar Rice Burroughs","P.B.Senanayaka","Sinhala","English Translation Novel"
"163","Tarzanta Hamuwu Unmaththakaya","Edgar Rice Burroughs","D.M.Karunarathna","Sinhala","English Translation Novel"
"164","Sherlock Holms -Sunaka sapaya","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
